finnkode,job_title,job_url,employer,positions,stillingstittel,deadline,sted,bransje,stillingsfunksjon
385370044,Do you want to join Jotun on our exciting journey towards a data driven future?,https://www.finn.no/job/fulltime/ad.html?finnkode=385370044,JOTUN,3 stillinger,,,,,
385896501,Applikasjonskonsulent SAP ECC - fagfelt tid eller reise,https://www.finn.no/job/fulltime/ad.html?finnkode=385896501,Direktoratet for forvaltning og økonomistyring (DFØ),1 stilling,,,,,
385852326,Bli med å skape smartere samfunn!,https://www.finn.no/job/fulltime/ad.html?finnkode=385852326,Norkart,2 stillinger,,,,,
385849552,Nkom søker IT-rådgiver,https://www.finn.no/job/fulltime/ad.html?finnkode=385849552,Nasjonal kommunikasjonsmyndighet (Nkom),1 stilling,,,,,
385846211,Bli med å skape smartere samfunn!,https://www.finn.no/job/fulltime/ad.html?finnkode=385846211,Norkart,1 stilling,,,,,
385830701,Vi trenger en teknisk arkitekt med fokus på gode utvikleropplevelser,https://www.finn.no/job/fulltime/ad.html?finnkode=385830701,Skatteetaten,1 stilling,,,,,
385829962,Vil du være med å øke livsgleden til våre utviklere?,https://www.finn.no/job/fulltime/ad.html?finnkode=385829962,Skatteetaten,1 stilling,,,,,
385829633,Jobbe som techlead i en av Norges mest innovative virksomheter?,https://www.finn.no/job/fulltime/ad.html?finnkode=385829633,Skatteetaten,1 stilling,,,,,
385829390,Jobbe med Business Intelligence i vårt data og analyse-miljø?,https://www.finn.no/job/fulltime/ad.html?finnkode=385829390,Skatteetaten,1 stilling,,,,,
385829076,Jobbe som dataplattformutvikler i en av Norges mest innovative virksomheter?,https://www.finn.no/job/fulltime/ad.html?finnkode=385829076,Skatteetaten,1 stilling,,,,,
385828580,Jobbe som Data Engineer i en av Norges mest innovative virksomheter?,https://www.finn.no/job/fulltime/ad.html?finnkode=385828580,Skatteetaten,1 stilling,,,,,
385828113,Er du erfaren utvikler med ønske om nye utfordringer? Begynn din arkitektreise hos oss!,https://www.finn.no/job/fulltime/ad.html?finnkode=385828113,Skatteetaten,1 stilling,,,,,
385827604,Ønsker du å innovere og eksperimentere med banebrytende teknologi?,https://www.finn.no/job/fulltime/ad.html?finnkode=385827604,Skatteetaten,1 stilling,,,,,
385827292,Arkitekt på vei mot store utfordringer? Skatteetaten er stedet!,https://www.finn.no/job/fulltime/ad.html?finnkode=385827292,Skatteetaten,1 stilling,,,,,
385826871,Hode for kode og hjerte for fellesskapet?,https://www.finn.no/job/fulltime/ad.html?finnkode=385826871,Skatteetaten,1 stilling,,,,,
385826598,Bli med i vårt arkitekt-team for gjennomføring av digital transformasjon av innkrevingen,https://www.finn.no/job/fulltime/ad.html?finnkode=385826598,Skatteetaten,1 stilling,,,,,
385826034,Vil du lede spennende arbeid med etatens hybride skyplattformer?,https://www.finn.no/job/fulltime/ad.html?finnkode=385826034,Skatteetaten,1 stilling,,,,,
385825531,Vil du være med å bekjempe økonomisk kriminalitet?,https://www.finn.no/job/fulltime/ad.html?finnkode=385825531,Skatteetaten,1 stilling,,,,,
385824327,Utvikler søkes til banebrytende skatteprosjekt!,https://www.finn.no/job/fulltime/ad.html?finnkode=385824327,Skatteetaten,1 stilling,,,,,
385823363,Vil du designe løsninger for hele Norges befolkning og næringsliv?,https://www.finn.no/job/fulltime/ad.html?finnkode=385823363,Skatteetaten,1 stilling,,,,,
385822330,Har du erfaring med ERP-løsninger og reskontro/regnskap?,https://www.finn.no/job/fulltime/ad.html?finnkode=385822330,Skatteetaten,1 stilling,,,,,
385821581,Er du klar for å ta på deg rollen som testansvarlig i et av Norges mest betydningsfulle prosjekter?,https://www.finn.no/job/fulltime/ad.html?finnkode=385821581,Skatteetaten,1 stilling,,,,,
385820980,Har du erfaring innen funksjonelt arbeid med kravhåndtering og behovskartlegging?,https://www.finn.no/job/fulltime/ad.html?finnkode=385820980,Skatteetaten,1 stilling,,,,,
385801764,"Har du erfaring fra arkitektur, tjenestedesign og utvikling?",https://www.finn.no/job/fulltime/ad.html?finnkode=385801764,Lyse AS,1 stilling,,,,,
385801142,Seniorrådgiver – Azure overvåking,https://www.finn.no/job/fulltime/ad.html?finnkode=385801142,Statnett,1 stilling,,,,,
